fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
36,92,0.391,8,28,0.286,13,15,0.867,16,26,42,19,9,2,17,23,28,64,0.4375,0
46,81,0.568,8,24,0.333,14,22,0.636,8,32,40,29,10,7,16,19,38,57,0.6666666666666666,1
41,87,0.471,19,45,0.422,14,17,0.824,8,36,44,26,8,3,15,19,22,42,0.5238095238095238,1
37,87,0.425,12,35,0.343,17,24,0.708,11,32,43,28,10,6,13,15,25,52,0.4807692307692308,0
45,98,0.459,13,31,0.419,18,23,0.783,19,34,53,17,8,5,12,18,32,67,0.47761194029850745,1
39,81,0.481,7,27,0.259,20,24,0.833,8,29,37,19,6,3,18,15,32,54,0.5925925925925926,0
49,97,0.505,13,32,0.406,12,14,0.857,12,29,41,22,10,6,10,25,36,65,0.5538461538461539,1
39,80,0.488,17,42,0.405,22,29,0.759,8,32,40,29,5,6,18,19,22,38,0.5789473684210527,0
48,87,0.552,26,50,0.52,16,18,0.889,6,38,44,32,5,9,16,19,22,37,0.5945945945945946,1
48,104,0.462,11,35,0.314,14,17,0.824,14,26,40,26,9,2,7,17,37,69,0.5362318840579711,0
50,97,0.515,7,22,0.318,16,22,0.727,13,41,54,28,6,7,13,18,43,75,0.5733333333333334,1
41,92,0.446,11,32,0.344,12,16,0.75,6,30,36,23,7,9,11,19,30,60,0.5,0
41,76,0.539,13,25,0.52,19,26,0.731,11,39,50,23,5,6,20,17,28,51,0.5490196078431373,1
41,93,0.441,20,42,0.476,11,16,0.688,10,27,37,31,9,6,10,21,21,51,0.4117647058823529,0
43,90,0.478,16,38,0.421,17,21,0.81,9,25,34,21,8,1,7,16,27,52,0.5192307692307693,1
42,81,0.519,14,32,0.438,17,21,0.81,10,37,47,26,5,4,16,17,28,49,0.5714285714285714,0
33,89,0.371,8,33,0.242,21,24,0.875,12,28,40,19,7,9,18,20,25,56,0.44642857142857145,0
43,86,0.5,16,36,0.444,20,23,0.87,9,39,48,27,9,7,17,20,27,50,0.54,1
41,94,0.436,16,40,0.4,8,9,0.889,10,33,43,27,10,4,17,15,25,54,0.46296296296296297,1
39,85,0.459,13,34,0.382,12,17,0.706,8,36,44,28,10,7,17,7,26,51,0.5098039215686274,0
46,96,0.479,9,30,0.3,18,20,0.9,10,30,40,27,9,5,8,22,37,66,0.5606060606060606,0
42,81,0.519,11,27,0.407,28,37,0.757,10,39,49,27,5,2,16,22,31,54,0.5740740740740741,1
