fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,fg2,fga2,fg2_pct,result
35,75,0.467,15,40,0.375,25,26,0.962,7,35,42,18,5,4,21,15,20,35,0.5714285714285714,1
43,87,0.494,8,33,0.242,8,13,0.615,4,28,32,22,11,2,14,26,35,54,0.6481481481481481,0
37,84,0.44,8,32,0.25,32,36,0.889,9,39,48,19,7,6,14,20,29,52,0.5576923076923077,1
40,87,0.46,8,27,0.296,12,21,0.571,10,33,43,24,4,4,17,26,32,60,0.5333333333333333,0
41,96,0.427,8,41,0.195,7,10,0.7,15,34,49,25,5,5,10,21,33,55,0.6,0
39,91,0.429,9,29,0.31,16,20,0.8,12,38,50,20,8,2,11,17,30,62,0.4838709677419355,1
40,88,0.455,13,36,0.361,11,13,0.846,15,31,46,27,5,10,17,20,27,52,0.5192307692307693,0
44,103,0.427,10,37,0.27,15,20,0.75,23,29,52,28,11,10,9,16,34,66,0.5151515151515151,1
36,87,0.414,13,40,0.325,13,16,0.813,6,35,41,21,5,9,19,18,23,47,0.48936170212765956,0
46,99,0.465,11,29,0.379,14,17,0.824,12,36,48,23,11,3,12,18,35,70,0.5,1
36,85,0.424,9,28,0.321,16,22,0.727,5,26,31,24,10,7,15,20,27,57,0.47368421052631576,0
42,80,0.525,9,28,0.321,18,22,0.818,9,40,49,30,7,7,22,21,33,52,0.6346153846153846,1
42,80,0.525,5,19,0.263,19,30,0.633,10,37,47,21,2,6,15,18,37,61,0.6065573770491803,1
42,101,0.416,5,32,0.156,11,16,0.688,17,28,45,27,8,7,11,23,37,69,0.5362318840579711,0
35,80,0.438,10,29,0.345,14,19,0.737,14,20,34,22,13,5,14,26,25,51,0.49019607843137253,0
32,72,0.444,12,28,0.429,20,24,0.833,12,29,41,18,7,3,22,20,20,44,0.45454545454545453,1
41,102,0.402,10,33,0.303,11,17,0.647,16,30,46,23,9,11,10,26,31,69,0.4492753623188406,0
39,93,0.419,9,33,0.273,25,33,0.758,16,42,58,20,6,9,16,19,30,60,0.5,1
37,91,0.407,14,40,0.35,25,29,0.862,9,34,43,24,9,0,11,20,23,51,0.45098039215686275,0
44,88,0.5,14,38,0.368,14,21,0.667,8,40,48,28,5,4,15,21,30,50,0.6,1
48,97,0.495,14,34,0.412,12,17,0.706,13,30,43,32,7,4,10,20,34,63,0.5396825396825397,0
43,86,0.5,22,48,0.458,21,23,0.913,10,35,45,33,6,8,17,19,21,38,0.5526315789473685,1
43,83,0.518,16,33,0.485,15,21,0.714,10,38,48,29,6,2,17,21,27,50,0.54,0
40,79,0.506,17,38,0.447,22,28,0.786,4,27,31,19,8,2,9,19,23,41,0.5609756097560976,1
38,82,0.463,12,37,0.324,21,28,0.75,7,38,45,26,5,6,15,19,26,45,0.5777777777777777,1
41,91,0.451,15,44,0.341,9,14,0.643,8,37,45,27,4,4,11,23,26,47,0.5531914893617021,0
38,72,0.528,16,37,0.432,18,21,0.857,4,33,37,27,7,2,19,16,22,35,0.6285714285714286,1
40,84,0.476,14,39,0.359,13,15,0.867,5,27,32,28,11,2,12,18,26,45,0.5777777777777777,0
39,89,0.438,19,48,0.396,23,25,0.92,9,34,43,26,13,2,19,23,20,41,0.4878048780487805,1
38,81,0.469,11,41,0.268,20,24,0.833,4,35,39,28,7,8,18,18,27,40,0.675,0
46,87,0.529,24,48,0.5,18,25,0.72,14,26,40,31,9,6,22,23,22,39,0.5641025641025641,1
45,82,0.549,12,25,0.48,25,31,0.806,11,26,37,27,7,4,20,25,33,57,0.5789473684210527,0
32,73,0.438,6,19,0.316,18,22,0.818,6,31,37,19,8,5,15,24,26,54,0.48148148148148145,0
31,80,0.388,12,32,0.375,26,31,0.839,15,33,48,22,5,6,16,17,19,48,0.3958333333333333,1
47,88,0.534,8,24,0.333,13,20,0.65,8,32,40,33,14,7,22,14,39,64,0.609375,1
43,82,0.524,12,33,0.364,11,18,0.611,10,28,38,31,14,5,24,17,31,49,0.6326530612244898,0
40,82,0.488,9,24,0.375,27,30,0.9,7,26,33,15,7,5,16,21,31,58,0.5344827586206896,0
53,95,0.558,16,38,0.421,17,22,0.773,10,31,41,30,10,7,15,23,37,57,0.6491228070175439,1
44,94,0.468,17,39,0.436,20,24,0.833,13,34,47,27,5,6,13,20,27,55,0.4909090909090909,1
51,109,0.468,8,28,0.286,9,11,0.818,17,37,54,24,5,5,11,16,43,81,0.5308641975308642,0
37,89,0.416,7,33,0.212,31,40,0.775,15,33,48,15,7,3,10,19,30,56,0.5357142857142857,0
47,88,0.534,18,46,0.391,16,21,0.762,8,35,43,31,5,4,13,25,29,42,0.6904761904761905,1
28,87,0.322,12,43,0.279,17,26,0.654,11,35,46,21,5,4,15,18,16,44,0.36363636363636365,0
42,87,0.483,14,34,0.412,14,20,0.7,11,44,55,30,11,5,15,22,28,53,0.5283018867924528,1
42,84,0.5,3,19,0.158,28,36,0.778,13,37,50,20,8,5,16,18,39,65,0.6,1
44,87,0.506,7,27,0.259,16,18,0.889,6,29,35,23,5,8,15,23,37,60,0.6166666666666667,0
40,75,0.533,11,34,0.324,14,25,0.56,8,37,45,28,5,4,18,19,29,41,0.7073170731707317,1
34,91,0.374,10,40,0.25,17,24,0.708,20,22,42,21,10,3,11,22,24,51,0.47058823529411764,0
43,88,0.489,12,28,0.429,24,26,0.923,11,36,47,27,10,7,22,15,31,60,0.5166666666666667,1
